center_meal,r2_score,mape
58_1727,0.8763294691343122,0.3204506532309733
58_1754,0.7070349510784777,0.6273387734018864
58_1778,0.46061441247017765,0.3493243470372594
58_1885,0.5192676972689317,0.2822138392955771
58_1971,0.7828692963964367,0.9241284976444286
58_1993,0.49471912136972784,0.39897405027151883
58_2290,0.8289322763735982,0.3181382116251823
58_2322,0.5505140549285158,0.4420388425238843
58_2707,0.3689498773301033,0.23609600103141118
58_2826,0.6884877737452741,0.43558977970485785
59_1062,0.4211403884109707,0.23279628166545543
59_1109,0.757248699075512,0.2398040436870745
59_1311,0.4482733857503738,0.24171002294408186
59_1727,0.782590294871808,0.28193439428208433
59_1754,0.8049705416704618,0.4407406574884363
59_1778,0.33353101370133365,0.35017036508912586
59_1803,0.31489419391419005,0.24363139090034633
59_1885,0.5593847735780858,0.11750604924650553
59_1962,0.7450564261374388,0.35019645670787286
59_1971,0.8353109480723503,0.5173913864341401
59_1993,0.6820045354345099,0.17833339329103104
59_2290,0.7758890227855706,0.2970579458936306
59_2539,0.7161302011166099,0.3270768087054887
59_2581,0.7260802240547146,0.48720026708134173
59_2640,0.50289307055177,0.2896535043218743
59_2707,0.4675252586687132,0.2499001197538273
59_2760,0.5525120868235606,0.28436835221874135
