center_meal,r2_score,mape,Error
52_1993,0.3946001143964254,0.1945099229555015,
52_2539,0.7467740757638309,0.2254077561644653,
52_2139,0.357397456212995,0.5133528487122944,
52_2631,0.673156181839193,0.48533685419929457,
52_1248,0.6876979791315622,0.390651850370183,
52_1778,0.39171533913430956,0.2484480019107098,
52_1062,0.4067660464967354,0.20477314612988817,
52_2707,0.4619639822374104,0.2065145228466441,
52_1207,0.6669041558576322,0.5590329502009116,
52_1230,0.6958835774831178,0.5320064953482897,
52_2322,0.6969550342734793,0.5133617838230949,
52_2290,0.8613321542513469,0.2863947972237427,
52_1727,0.7043442009835565,0.3128881950444809,
52_1109,0.7980440605389176,0.21905755837882285,
52_1571,0.5262287491619593,0.6314493403634859,
52_2104,0.6631190170877945,0.5873066215679837,
52_2577,0.5842329947358335,0.2663689870309902,
52_2640,0.8358163582588474,0.2295761596492005,
52_1878,0.7694017080172935,0.5422746055083941,
52_2306,0.6826931930428659,0.6960911702682017,
52_1216,0.44940018933990655,0.4652416602531656,
52_2126,0.4030518021586289,0.5856450496420064,
52_2826,0.73376735410175,0.21139941938073095,
52_1754,0.8202827757629234,0.34924141611950293,
52_1971,0.9092646986741055,0.41092271779430806,
52_1902,0.2855864952169592,0.5374811776401113,
52_1247,0.3166131506901084,0.568729532127171,
52_1770,0.31379585067145443,0.5880739853384781,
52_1198,0.317844125096594,0.2235902562064305,
52_1311,0.4547277125024345,0.13985439460326957,
52_1803,0.4604663919123263,0.1762481613460237,
52_1438,0.4313206632954888,0.5849801929781786,
52_2494,0.5453797614829212,0.36494063181248576,
52_1847,0.3302012500954099,0.5833711919344765,
52_1558,0.7938737215172568,0.6277788605252462,
52_2581,0.810558164358623,0.49538843697450946,
52_1962,0.85518668574528,0.3242458796995777,
52_1445,0.7850552639232178,0.7585371230803784,
52_2444,0.8027934496937857,0.7263471514059333,
52_2867,0.8183241947367019,0.6562008782937078,
52_2760,0.5815465556516477,0.30798597006048056,
52_1525,0.6783741498715181,0.1865444141444937,
52_2704,0.5783843201737044,0.22806116492107492,
52_2492,0.7202400183485493,0.4974856956865815,
52_1543,0.654654203288161,0.3841884837371425,
52_2304,0.605922925043744,0.48008594067535576,
52_2664,0.7636518840361456,0.21781802388724444,
52_2569,0.8237601538395042,0.26806090391483905,
52_2490,0.8494995154336022,0.3731250961945779,
93_1885,0.6387165996954454,0.20266246913507685,
93_1993,0.5586784079709929,0.36349469946896684,
93_2539,0.5047113177291284,0.3733629904105971,
93_2139,0.2810362849678236,0.5684020138859948,
93_2631,0.5902241730810327,0.5665539852570067,
93_1248,0.49420134060122944,0.6544104409535219,
93_1778,0.436741192453001,0.3613203028969839,
93_1062,0.41557665598748594,0.23488826996732287,
93_2707,0.47368271070708134,0.26170923365935855,
93_1207,0.4973314492570621,0.3440698548031171,
93_1230,0.4114327559367682,0.38922700338645116,
93_2322,0.5425822919836572,0.3287687965386817,
93_2290,0.7756995691886515,0.25185139940702306,
93_1727,0.8612313564468482,0.2554583541530744,
93_1109,0.7525282091886467,0.21875610627979214,
93_1571,0.4547768692709274,0.6222966110149623,
93_2956,0.2659280989414752,0.8711036180887074,
93_2104,0.09520299139962907,0.5830064296298458,
93_2640,0.6929617034375721,0.27285127784672036,
93_1878,0.5841963164007011,0.4687880079825041,
93_2306,0.5825672984888881,0.6267775066306691,
93_1216,0.307438207795123,0.5662166357615356,
